Station, Threshold,
Crew Green, 5.2,
Welsh Bridge, 2.7,
Buildwas, 3.4,
Bridgnorth, 3.6,
Bewdley, 3.3,
Diglis, 2.8,
Kempsey Yacht Club, 5.0,
Saxons Lode, 4.0,
Mythe Bridge, 2.8,
Haw Bridge, 4.5,
Ashleworth, 3.58,
Sandhurst, 3.0,
Gloucester Docks, 3.2,
Minsterworth, 5.7,
Epney, 7.0,
Leintwardine, 1.2,
Tenbury, 4.5,
Bransford, 4.4,
Bredon, 2.0,
Bredwardine, 3.8,
Hereford Bridge, 3.3}
